story_id,title_jp,title_en,literacy,narrative,engagement,cohesion,freshness,total,tier,notes
1,雨,Rain,5,5,4,5,4,23,5,Tight bootstrap; complete arc in 7 sentences
2,夕方の公園,The Evening Park,5,4,3,5,3,20,4,Echoes story_1 too closely; "I feel good too" weak
3,朝ごはん,Breakfast,5,5,4,5,3,22,5,Compact and coherent; familiar scene
4,散歩,A Walk,5,4,3,5,3,20,4,Solid but feels like a list of park items
5,朝の散歩,A Morning Walk,5,4,4,5,3,21,4,Dog appears and disappears with no payoff; door->wind transition jumpy
6,猫,The Cat,5,4,4,4,4,21,4,"Cat walks through window" magical-realist confusion in s3
7,夜,Night,4,4,4,4,4,20,4,Cleaner closer; still impressionistic
8,本と友達,Books and Friends,5,4,3,5,3,20,4,Pleasant but listy; final "I go home" feels tacked
9,朝の猫,The Morning Cat,5,5,5,5,4,24,5,Lovely cat-watches-bird scene with payoff
10,友達からの手紙,A Letter from a Friend,5,4,4,5,4,22,5,Dog-and-me-at-home reading scene; coherent
11,昨日の手紙,Yesterday's Letter,5,4,4,3,4,20,4,Tight past-tense reading scene; tail 犬/家/椅子 weaves break flow
12,雨の朝,A Rainy Morning,5,5,5,4,5,24,5,Cat-watching-rain meditation with subtle quotative; orphan 鳥 last line
13,本のそばに,Beside the Book,5,5,5,4,5,24,5,Quietly literary; orphan 庭 closer
14,月の手紙,A Letter by Moonlight,5,5,5,5,4,24,5,Painful letter under moonlight - emotionally coherent
15,夜の空,The Night Sky,5,5,5,5,4,24,5,Sky-walk with quiet child song; cohesive
16,公園のパン,Bread in the Park,5,5,4,5,3,22,5,Weather pivot smoother; rain-music closer earns it
17,公園の子供,A Child at the Park,5,5,4,5,3,22,5,Bench-trio-and-walk-thinking arc now whole
18,雨の鳥,A Bird in the Rain,5,5,4,4,4,22,5,Quoted "sad" / but-music structure works
19,庭の鳥,A Bird in the Garden,5,5,4,4,4,22,5,Bird-feeding integration gives "is bird hurt" real meaning
20,寒い朝の手紙,A Letter on a Cold Morning,5,5,4,4,4,22,5,Tight letter-writing arc with snow-and-warmth closer
21,雪の道,The Snowy Road,5,4,4,3,4,20,4,Lonely walk image strong; tail "friend mother" non-sequiturs
22,古い本の写真,A Photo in the Old Book,5,5,5,5,4,24,5,Photo-and-memory scene; spring-park invitation lands
23,駅の夕方,Evening at the Station,5,4,4,3,4,20,4,Train arrival scene; tail 太陽/犬走/お茶 fragments
24,春の朝,A Spring Morning,5,4,4,4,4,21,4,Spring opening + autumn flashback ambitious; train-arrival tail
25,一人の部屋,An Empty Room,5,5,5,5,4,24,5,Sad-room atmosphere; "but outside is quiet" closer earns the "but"
26,小さい鍵,A Small Key,5,5,4,4,4,22,5,Combined key+book closer; 美しい-evening framing
27,夏の庭,The Summer Garden,5,4,4,4,3,20,4,Pleasant garden tableau; tail 犬走/「美しい」言います weak
28,雨の店,The Shop in the Rain,5,4,4,4,4,21,4,Friend joins at shop scene works; comma-pause overuse early
29,ベンチの友達,A Friend on the Bench,5,4,4,3,4,20,4,Family-photo moment good; tail 雪/角/雨/「元気」 fragments cluster
30,秋の道,The Autumn Road,5,5,5,5,5,25,5,Quiet flashback opening + payoff with friend; whole arc
31,友達の電話,The Friend's Phone Call,5,5,4,5,4,23,5,Phone call carries the scene; rare format in library
32,冬の朝ごはん,Winter Breakfast,5,5,4,4,4,22,5,Father-call now ties summer/family/sadness/run into one beat
33,古い時計,The Old Clock,5,5,5,4,5,24,5,Memory-clock with grandmother; tail 新しい時計/町/人 fragments mild
34,犬と散歩,A Walk with the Dog,5,5,5,4,5,24,5,Dog-runs-to-pond with child laugh; "with grandmother" surprise then fades
35,母の手紙,Mother's Letter,5,4,4,3,4,20,4,Mother-job emotional core; tail 雲/朝/客/町 fragments
36,雪の夜,A Snowy Night,5,5,5,5,5,25,5,Stove-warmth scene complete; one-of-the-best
37,父の名前,Father's Name,5,5,5,4,5,24,5,Mountain-river name origin; tail 本/兄/「春」 weaves
38,本の店の人,The Person at the Bookstore,5,5,5,4,5,24,5,Quiet attraction scene starts the arc; tail fragments
39,雨と傘,Rain and Umbrella,5,5,5,4,5,24,5,Umbrella-shared meet-cute; tail ストーブ/犬 weaves
40,手紙の返事,The Letter's Reply,5,5,5,3,5,23,5,Beautiful internal monologue; multi-orphan tail (犬/朝/祖母/店/光)
41,春の本の店,The Bookstore in Spring,5,4,5,4,4,22,5,Bookstore reunion; tail 学校/川/言葉生まれる weaves
42,二人の道,"The Two Of Us, On the Road",5,5,5,4,5,24,5,Romantic walk under moon; tail ストーブ/母/電話無し fragments
43,鍵がありません,There Is No Key,5,5,5,3,4,22,5,Key-search scene resolves; long disconnected tail (5+ weaves)
44,待ちません,I Do Not Wait,5,5,4,4,4,22,5,Promise-and-arrival scene; tail 昨日寒/本店/返事来ません fragments
45,これは何ですか,What Is This?,5,5,5,4,4,23,5,Box-of-memories with grandmother; tail 祖母さん新時計/犬/写真 fragments
46,寒くない朝,A Not-Cold Morning,5,4,4,4,4,21,4,Spring-not-cold meditation; brother arrives well-integrated
47,誰の傘,Whose Umbrella?,5,5,5,4,5,24,5,Whose-umbrella mystery resolves; tail 弟/町 fragments
48,どこですか,Where Is It?,5,5,4,4,4,22,5,Bookstore-search with friend; bilingual title typo (「。」)
49,お茶を飲みませんか,Won't You Have Tea?,5,5,4,4,4,22,5,Friend response echoes tea; key-missing closer earns the romance
50,駅で待ちます,Waiting at the Station,5,5,5,4,5,24,5,Child-grandmother train wait charming; tail 兄服/箱手紙/兄本/雨 fragments
51,あの花,That Flower Over There,5,5,4,4,4,22,5,Trio at park with this/that drill; tail 玄関/姉/空気 fragments
52,入ってください,Please Come In,5,5,5,4,5,24,5,Teacher-visits-home scene; tail 兄手紙/鍵無 fragments
53,何の本ですか,What Book Is It?,5,4,4,3,4,20,4,Book/flower exchange okay; tail 祖母時計/学生/姉帽子/草緑/古本/年朝 cluster
54,待ちませんでした,I Did Not Wait,5,5,5,4,5,24,5,Past-tense regret tale strong; tail 兄/本中/朝ごはん/鐘 fragments
55,暑かった夏,The Summer That Was Hot,5,5,5,4,5,24,5,Past-summer flashback; tail 妹/学生/時間無/上着 fragments
56,行きましょう,Let's Go,5,5,4,3,4,21,4,Park visit with bookstore person; long disconnected tail (5+ items)
57,"雨が降りますが、明るい朝","Rain Falls, But a Bright Morning",5,5,5,4,5,24,5,Rain-but-bright meditation; tail fragments mild
58,本の店へ,To the Bookstore,5,5,4,5,4,23,5,Bookstore arc clean; coat closer integrates several reuses
